sgRNA_ID,drug,rep,rdiff,prop,propcat,lab
Control_065,EED,2,-4.501276360734441,0.14986608798635018,>5%,NEG_CTL -1
EED_093,EED,2,-3.3880823524867374,0.0897765827941334,>5%,EED 346
EZH2_170,EED,2,-3.166278911121987,0.08971551579495432,>5%,EZH2 562
EZH2_184,EED,2,-3.108793935089082,0.2635371464582701,>5%,EZH2 597
SUZ12_013,EED,3,-2.7347101818544517,0.4145558338588073,>5%,SUZ12 13
EZH2_184,EED,3,-2.6606463743007085,0.42344020685575995,>5%,EZH2 597
EZH2_183,EED,0,-2.252400953222647,0.15215694768281382,>5%,EZH2 596.5
EZH2_183,EED,1,-2.2065160843394698,0.429507987403449,>5%,EZH2 596.5
SUZ12_013,EED,0,-2.19079031851987,0.15962263097214205,>5%,SUZ12 13
EZH2_184,EED,0,-1.9821384267740125,0.2515063307927722,>5%,EZH2 597
SUZ12_013,EED,1,-1.6342677056927302,0.06398927906095796,>5%,SUZ12 13
EZH2_184,EED,1,-1.307402647330459,0.06754163906428652,>5%,EZH2 597
Control_041,EED,2,-3.1377958694685666,0.028395955619273164,>2.5%,NEG_CTL -1
Control_064,EED,2,-3.1107926161878967,0.04740510636373315,>2.5%,NEG_CTL -1
EZH2_183,EED,2,-2.966555602515326,0.026546510644135254,>2.5%,EZH2 596.5
Control_065,EED,0,-2.6506468857251866,0.049960793109453644,>2.5%,NEG_CTL -1
EZH2_185,EED,2,-2.4944934368176304,0.030699037588312838,>2.5%,EZH2 597.5
EED_093,EED,0,-1.809110233377209,0.029941576932053484,>2.5%,EED 346
EZH2_170,EED,0,-1.5262831453164192,0.029958300299021006,>2.5%,EZH2 562
EZH2_171,EED,2,-2.909681989633665,0.016976506772784814,>1%,EZH2 564
Control_034,EED,2,-2.853939157758231,0.010486002860036665,>1%,NEG_CTL -1
EZH2_106,EED,2,-2.7851402207704368,0.015144509797412354,>1%,EZH2 365
EZH2_071,EED,2,-2.7139907185850634,0.01039004086132668,>1%,EZH2 252
Control_028,EED,2,-2.5974328478455098,0.011105391851710217,>1%,NEG_CTL -1
SUZ12_134,EED,2,-1.980821848655919,0.01065175485780846,>1%,SUZ12 361
EZH2_212,EED,1,-1.9213801357323597,0.016885410016821627,>1%,EZH2 693.5
EZH2_231,EED,1,-1.7761582407417529,0.015094340015143396,>1%,EZH2 746.5
Control_064,EED,0,-1.238717425885706,0.017391817256719268,>1%,NEG_CTL -1
EZH2_185,EED,0,-0.9112413522997247,0.011192490864244812,>1%,EZH2 597.5
EED_088,EED,2,-0.8217137879999002,0.014533843805621538,>1%,EED 328.5
EZH2_020,EED,2,-0.8023737136443533,0.01060813585839483,>1%,EZH2 77
EZH2_095,EED,2,-0.7857543210746738,0.010233012863437608,>1%,EZH2 345.5
EZH2_121,EED,2,-0.715926230448219,0.010424935860857586,>1%,EZH2 388
EZH2_021,EED,2,-0.6008554872348981,0.010311526862382143,>1%,EZH2 79
EZH2_184,GSK,2,-3.7410697919638713,0.438432521449129,>5%,EZH2 597
SUZ12_013,GSK,2,-3.7304209503209496,0.41168705178780685,>5%,SUZ12 13
EED_069,GSK,3,-1.9266115919952478,0.10766623883594767,>5%,EED 245.5
EZH2_081,GSK,3,-1.7748721866816448,0.10250924584385333,>5%,EZH2 268
EZH2_184,GSK,0,-0.488552673191087,0.18078230377396606,>5%,EZH2 597
EZH2_184,GSK,3,-0.46810687708614207,0.09354544185759485,>5%,EZH2 597
SUZ12_013,GSK,0,-0.37405080922262535,0.13732179726328358,>5%,SUZ12 13
Control_064,GSK,2,-4.734907759046175,0.04947566837448961,>2.5%,NEG_CTL -1
EED_069,GSK,0,-1.6378192265885034,0.03593802951213582,>2.5%,EED 245.5
EZH2_081,GSK,0,-1.4387975061633478,0.03437279061304535,>2.5%,EZH2 268
Control_064,GSK,3,-1.0645714408201328,0.034238095948513,>2.5%,NEG_CTL -1
Control_064,GSK,0,-1.016035227154633,0.04029526112493892,>2.5%,NEG_CTL -1
Control_064,GSK,1,-0.5594520781508159,0.03717201905181415,>2.5%,NEG_CTL -1
SUZ12_098,GSK,2,-1.8121662127902405,0.020076349746773182,>1%,SUZ12 234.5
Control_038,GSK,2,-1.4869804313514772,0.01095575386226729,>1%,NEG_CTL -1
EED_067,GSK,2,-1.4490529032835082,0.010716584865295887,>1%,EED 232
SUZ12_035,GSK,1,-0.051138217811445896,0.012360246017896457,>1%,SUZ12 35.5
