sgRNA_ID,drug,rep,rdiff,prop,lab
Control_001,GSK,-1,3.1312891708473294,1.126937668207185e-6,POS_CTL -1
Control_001,GSK,0,2.3024891038405815,1.126937668207185e-6,POS_CTL -1
Control_001,GSK,1,2.237085327693562,3.380811004621569e-6,POS_CTL -1
Control_001,GSK,2,2.014485782905717,9.999999873370002e-13,POS_CTL -1
Control_001,GSK,3,5.142296401942709,9.99999998467e-13,POS_CTL -1
Control_002,GSK,-1,1.7501172639142815,6.853274278172172e-6,POS_CTL -1
Control_002,GSK,0,1.5615798970238166,6.853274278172172e-6,POS_CTL -1
Control_002,GSK,1,-3.0939634621455183,6.761621009243137e-6,POS_CTL -1
Control_002,GSK,2,-1.8101882697172533,1.3798200825273382e-5,POS_CTL -1
Control_002,GSK,3,10.154503523605616,9.99999998467e-13,POS_CTL -1
Control_003,GSK,-1,-2.6892553638076016,9.269770944402436e-6,POS_CTL -1
Control_003,GSK,0,1.1726691229906958,9.269770944402436e-6,POS_CTL -1
Control_003,GSK,1,1.6452096724512948,1.0142401013864661e-5,POS_CTL -1
Control_003,GSK,2,-6.75949101671472,1.3798200825273382e-5,POS_CTL -1
Control_003,GSK,3,-2.9534847471593793,3.868710994069266e-6,POS_CTL -1
Control_004,GSK,-1,0.32536965954911806,3.508027406426282e-5,NEG_CTL -1
Control_004,GSK,0,1.1498050256216135,3.508027406426282e-5,NEG_CTL -1
Control_004,GSK,1,2.295815238524725,6.761621009243137e-6,NEG_CTL -1
Control_004,GSK,2,-2.191182186377735,5.979210024285264e-5,NEG_CTL -1
Control_004,GSK,3,0.8714759265003641,3.868710094069268e-5,NEG_CTL -1
Control_005,GSK,-1,-0.31312459200522563,2.3771233318728248e-4,NEG_CTL -1
Control_005,GSK,0,0.7093404990187374,2.3771233318728248e-4,NEG_CTL -1
Control_005,GSK,1,1.288979683814101,0.00016227900122183541,NEG_CTL -1
Control_005,GSK,2,-2.6385320483272956,2.529669977966789e-4,NEG_CTL -1
Control_005,GSK,3,0.41017858849751776,2.978910005433331e-4,NEG_CTL -1
Control_006,GSK,-1,0.9918871323907482,1.2191146682519137e-4,NEG_CTL -1
Control_006,GSK,0,2.050474865951647,1.2191146682519137e-4,NEG_CTL -1
Control_006,GSK,1,2.203703033968711,6.423540108780979e-5,NEG_CTL -1
Control_006,GSK,2,-1.0149104480787416,1.93174998553825e-4,NEG_CTL -1
Control_006,GSK,3,1.7868688112822755,1.0832400083393931e-4,NEG_CTL -1
Control_007,GSK,-1,0.792961992627221,1.9271000860815456e-5,NEG_CTL -1
Control_007,GSK,0,1.7785871693682107,1.9271000860815456e-5,NEG_CTL -1
Control_007,GSK,1,2.4192714175558345,1.0142401013864661e-5,NEG_CTL -1
Control_007,GSK,2,-2.0226859830423307,3.219580059230458e-5,NEG_CTL -1
Control_007,GSK,3,1.982300543368159,1.547480097627713e-5,NEG_CTL -1
Control_008,GSK,-1,0.8210713893940383,6.518327026799202e-5,NEG_CTL -1
Control_008,GSK,0,1.227139580319144,6.518327026799202e-5,NEG_CTL -1
Control_008,GSK,1,2.052517381819012,1.6904101023107905e-5,NEG_CTL -1
Control_008,GSK,2,-2.361194683923529,1.7477699878679887e-4,NEG_CTL -1
Control_008,GSK,3,2.7718914702866324,3.868710994069266e-6,NEG_CTL -1
Control_009,GSK,-1,0.5052045476380718,6.611940054611203e-5,NEG_CTL -1
Control_009,GSK,0,1.5181325997336128,6.611940054611203e-5,NEG_CTL -1
Control_009,GSK,1,2.1650360024037156,2.3665701032351013e-5,NEG_CTL -1
Control_009,GSK,2,-1.5807822460960201,1.0118699971866903e-4,NEG_CTL -1
Control_009,GSK,3,0.9313598866065197,7.350550088731608e-5,NEG_CTL -1
Control_010,GSK,-1,0.3137028589985951,1.8065833327946177e-4,NEG_CTL -1
Control_010,GSK,0,1.387162995497474,1.8065833327946177e-4,NEG_CTL -1
Control_010,GSK,1,1.9704883968590983,1.318520011802417e-4,NEG_CTL -1
Control_010,GSK,2,-2.0993900489035635,2.4376799791316585e-4,NEG_CTL -1
Control_010,GSK,3,1.0700102290402507,1.6635500074497779e-4,NEG_CTL -1
Control_011,GSK,-1,-2.448137256050323,2.401393430632429e-5,NEG_CTL -1
Control_011,GSK,0,-2.819805178970564,2.401393430632429e-5,NEG_CTL -1
Control_011,GSK,1,-2.2069015791552355,1.0142401013864661e-5,NEG_CTL -1
Control_011,GSK,2,3.3778484904424984,9.999999873370002e-13,NEG_CTL -1
Control_011,GSK,3,-8.515358679438233,6.189940090510822e-5,NEG_CTL -1
Control_012,GSK,-1,0.16807195491553154,1.1633780028651629e-4,NEG_CTL -1
Control_012,GSK,0,1.3049742918941447,1.1633780028651629e-4,NEG_CTL -1
Control_012,GSK,1,2.0754098793733413,6.423540108780979e-5,NEG_CTL -1
Control_012,GSK,2,-2.3012460258528575,1.6097899896152295e-4,NEG_CTL -1
Control_012,GSK,3,0.7300520112261109,1.2379900081021614e-4,NEG_CTL -1
Control_013,GSK,-1,-4.742614177218188,3.949637646816249e-6,NEG_CTL -1
Control_013,GSK,0,-3.7759160655852755,3.949637646816249e-6,NEG_CTL -1
Control_013,GSK,1,-3.5386597718516226,3.380811004621569e-6,NEG_CTL -1
Control_013,GSK,2,-6.954630696567085,4.599390941757913e-6,NEG_CTL -1
Control_013,GSK,3,-3.7345520632358578,3.868710994069266e-6,NEG_CTL -1
Control_014,GSK,-1,0.5368327845447913,7.796753379557195e-5,NEG_CTL -1
Control_014,GSK,0,1.4670646421475062,7.796753379557195e-5,NEG_CTL -1
Control_014,GSK,1,1.9949461315158123,4.395050106008034e-5,NEG_CTL -1
Control_014,GSK,2,-1.8568851969624927,1.2418399942745802e-4,NEG_CTL -1
Control_014,GSK,3,1.4724374190810543,6.57681008991775e-5,NEG_CTL -1
Control_015,GSK,-1,0.8612963092699006,0.001367432995133847,NEG_CTL -1
Control_015,GSK,0,1.8712292711602425,0.001367432995133847,NEG_CTL -1
Control_015,GSK,1,2.5560414574399117,6.896850019427994e-4,NEG_CTL -1
Control_015,GSK,2,-1.6587946017528485,0.001195841985857053,NEG_CTL -1
Control_015,GSK,3,1.6866420721226387,0.002216771997601689,NEG_CTL -1
Control_016,GSK,-1,0.6739879469841444,5.606072308229907e-4,NEG_CTL -1
Control_016,GSK,0,1.8528604995083928,5.606072308229907e-4,NEG_CTL -1
Control_016,GSK,1,0.6460655015513476,6.99828001956665e-4,NEG_CTL -1
Control_016,GSK,2,-1.1751152461411611,8.968819896427834e-4,NEG_CTL -1
